net,length_um
_0102_,5.04µm
_0196_,5.04µm
_0255_,5.04µm
_0268_,5.04µm
_0309_,5.04µm
_0048_,5.015µm
_0030_,5µm
_0235_,5µm
_0463_,4.98µm
_0019_,4.92µm
_0098_,4.92µm
_0144_,4.92µm
_0229_,4.92µm
_0261_,4.92µm
_0271_,4.92µm
_0314_,4.92µm
_0403_,4.92µm
_0063_,4.9µm
_0281_,4.8µm
net645,4.8µm
_0071_,4.76µm
_0224_,4.76µm
_0050_,4.61µm
done,4.61µm
start,4.61µm
_0480_,4.6µm
_0080_,4.58µm
_0267_,4.58µm
_0285_,4.58µm
_0505_,4.58µm
_0132_,4.56µm
_0053_,4.54µm
_0111_,4.54µm
_0321_,4.54µm
_0386_,4.495µm
_0035_,4.46µm
_0109_,4.46µm
_0304_,4.46µm
deser_A.kept_shift_reg\[27\],4.46µm
ser_C.kept_bit_idx\[9\],4.46µm
_0215_,4.44µm
_0493_,4.42µm
_0317_,4.34µm
_0468_,4.34µm
net38,4.34µm
_0055_,4.305µm
_0457_,4.3µm
